Site;Latitude;Longitude;Elevation (m);Sampling date;10Be concentration (104 atoms/g);1s error (104 atoms/g);d18O (permil)
S18;-69.02;40.12;602;19/01/2019;7.54;0.12;-20.39
H48;-69.14;40.94;1126;19/01/2019;3.40;0.08;-25.82
H192;-69.63;42.09;1559;17/01/2019;2.42;0.09;-30.10
Z22;-70.18;43.42;2022;16/01/2019;2.38;0.07;-29.43
Z88;-70.57;44.10;2165;15/01/2019;0.85;0.08;-27.19
MD38;-71.09;44.13;2324;15/01/2019;1.76;0.06;-32.17
MD88;-71.54;43.98;2473;14/01/2019;1.78;0.06;-37.81
MD138;-71.99;43.83;2643;13/01/2019;1.54;0.06;-40.54
MD188;-72.43;43.66;2824;11/01/2019;1.58;0.07;-36.11
MD238;-72.88;43.48;2971;10/01/2019;4.17;0.10;-40.89
MD288;-73.33;43.28;3128;07/01/2019;4.19;0.11;-34.60
MD348;-73.86;43.05;3283;06/01/2019;4.01;0.11;-44.59
MD418;-74.49;42.63;3453;05/01/2019;3.59;0.12;-47.26
MD428;-74.58;42.57;3457;05/01/2019;3.67;0.12;-47.18
MD438;-74.68;42.50;3485;05/01/2019;6.28;0.15;-48.16
MD448;-74.77;42.42;3493;05/01/2019;3.01;0.10;-46.70
MD458;-74.86;42.35;3506;05/01/2019;2.46;0.10;-47.32
MD468;-74.95;42.26;3517;05/01/2019;4.93;0.14;-47.99
MD478;-75.04;42.19;3546;05/01/2019;2.57;0.09;-48.14
MD488;-75.12;42.10;3542;04/01/2019;2.25;0.09;-47.60
MD498;-75.21;42.03;3562;04/01/2019;5.12;0.15;-46.58
MD508;-75.30;41.95;3572;04/01/2019;2.83;0.08;-48.22
MD518;-75.39;41.85;3571;04/01/2019;3.27;0.10;-47.97
MD528;-75.48;41.75;3584;04/01/2019;2.56;0.09;-48.44
MD538;-75.57;41.66;3573;04/01/2019;2.20;0.10;-48.23
MD548;-75.66;41.56;3613;04/01/2019;2.46;0.08;-47.17
MD558;-75.75;41.46;3625;04/01/2019;2.89;0.10;-49.67
MD568;-75.84;41.36;3642;03/01/2019;2.52;0.09;-50.06
MD578;-75.92;41.26;3673;03/01/2019;3.41;0.10;-48.93
MD588;-76.01;41.16;3675;03/01/2019;4.57;0.09;-49.17
MD598;-76.10;41.05;3698;03/01/2019;2.75;0.08;-48.69
MD608;-76.19;40.95;3699;03/01/2019;2.26;0.08;-48.81
MD618;-76.28;40.86;3699;03/01/2019;3.89;0.11;-48.63
MD628;-76.37;40.75;3717;03/01/2019;3.85;0.12;-48.79
MD638;-76.46;40.65;3727;03/01/2019;3.58;0.12;-49.19
MD648;-76.55;40.55;3736;03/01/2019;5.13;0.20;-49.22
MD658;-76.64;40.45;3746;02/01/2019;3.96;0.12;-48.66
MD668;-76.73;40.36;3733;02/01/2019;7.63;0.19;-48.88
MD678;-76.82;40.25;3755;02/01/2019;6.59;0.18;-50.20
MD688;-76.91;40.14;3760;02/01/2019;4.71;0.14;-50.20
MD698;-77.00;40.04;3763;02/01/2019;4.63;0.14;-50.68
MD708;-77.09;39.93;3784;02/01/2019;6.01;0.14;-50.28
MD718;-77.18;39.84;3787;02/01/2019;5.54;0.13;-49.89
MD728-1;-77.27;39.74;3799;02/01/2019;5.74;0.15;-51.61
MD728-2;-77.27;39.74;3799;02/01/2019;5.63;0.15;-51.61
MD734-1;-77.33;39.67;3818;01/01/2019;7.19;0.15;-50.80
MD734-2;-77.33;39.67;3818;01/01/2019;6.45;0.15;-50.80