AICCBeNorm;Benorm_vostok
228.322;-1.03519
240.322;-0.860495
252.064;-0.652582
263.806;0.536338
275.549;1.3017
287.562;-0.589432
299.848;0.999444
312.132;-0.00311903
324.418;-0.665128
336.225;-0.24503
347.555;-0.0577003
358.885;-0.590543
370.215;0.144924
381.996;0.678074
394.229;-0.177463
406.461;-0.206263
418.694;1.06014
431.565;1.78163
445.075;1.56444
458.585;1.61727
472.095;2.23561
486.377;3.32814
501.433;2.4649
516.487;1.0516
531.543;1.59086
546.355;1.52709
560.925;-0.667562
575.495;-0.395066
590.065;1.21599
604.456;1.93057
618.669;1.14436
632.881;1.06694
647.094;0.863556
662.324;0.911312
678.571;0.0817221
694.819;0.506394
711.066;0.00209127
726.913;0.300884
742.357;0.673273
757.803;0.590517
773.247;0.4144
788.879;-0.182951
804.696;-0.641495
820.514;0.199518
836.331;-0.611428
852.327;-0.688239
868.503;0.0679088
884.677;-0.0318445
900.852;-0.234653
917.064;1.05635
933.311;0.708441
949.559;1.30955
965.806;0.0688807
982.321;-0.803206
999.104;-0.777662
1015.89;-0.169333
1032.67;0.493627
1049.49;0.180876
1066.35;-0.0391695
1083.22;-0.25528
1100.21;-0.485272
1117.35;0.0857815
1134.62;-0.205049
1152.02;-0.1246
1169.43;-0.805918
1187.42;-1.26197
1205.99;-1.26043
1224.57;-0.13443
1243.14;1.77277
1261.82;0.780371
1280.59;1.99305
1299.36;-0.293194
1318.13;-1.03869
1336.19;0.181322
1353.52;-0.622981
1370.85;-0.727722
1388.18;0.757467
1405.8;-0.219096
1423.7;-1.02273
1441.59;-0.422546
1459.49;0.177633
1478;-0.330994
1497.13;1.09316
1516.26;-0.473409
1535.39;-0.0970253
1554.98;-1.29738
1575.04;-1.216
1595.11;0.431946
1615.17;-0.83962
1635.4;-0.656515
1655.82;-0.687032
1676.22;0.645569
1696.63;0.97109
1717.12;-1.4398
1737.68;-1.13462
1758.23;-2.30446
1778.79;-0.921
1799.44;0.757467
1820.18;0.564189
1840.92;-0.188578
1861.66;-0.0359901
1881.76;1.26609
1901.23;-0.534444
1920.7;-0.290303
1940.17;0.584534
1959.88;-1.04307
1979.84;0.177633
1999.8;-0.737895
2019.76;-0.442891
2039.9;-0.11737
2060.21;0.218323
2080.53;0.482809
2100.84;-0.0258176
2121.54;-1.35842
2142.63;-0.127543
2163.71;-0.249613
2184.64;0.0555627
2205.41;-0.188578
2226.02;-0.432719
2246.48;-0.127543
2266.93;-1.26687
2287.12;0.482809
2307.05;1.29661
2326.97;3.83974
2346.9;0.991435
2367.98;-0.198751
2390.21;-2.73171
2412.44;-0.473409
2434.67;-1.18549
2456.18;-0.982035
2476.96;0.0759077
2497.74;-0.778585
2518.52;-0.870138
2539.95;-1.05324
2562.04;-0.625997
2584.13;-0.941345
2606.22;2.21214
2627.77;-1.216
2648.78;0.482809
2669.79;0.177633
2690.8;1.29661
2713.28;1.19489
2737.21;1.38816
2761.14;1.46954
2785.07;-0.330994
2807.63;-2.1417
2828.82;-2.16205
2850;-0.514099
2871.19;-0.381856
2893.22;-0.503927
2916.11;-2.24343
2939.01;-0.107198
2961.89;-0.137715
2985.07;-1.77549
3008.53;-0.137715
3031.99;-0.941345
3055.45;-1.04307
3078.35;0.0555627
3100.7;-1.5517
3123.05;0.238668
3145.4;-0.737895
3167.44;-0.921
3189.18;0.492981
3210.92;-0.229268
3232.66;-0.330994
3254.98;-0.941345
3277.89;0.187806
3300.79;-1.53135
3323.7;-0.198751
3346.39;-0.0359901
3368.87;-1.07359
3391.36;2.11041
3413.84;0.0962528
3436.01;0.0555627
3457.87;-0.0258176
3479.74;0.340394
3501.6;-0.361511
3524.55;-1.06342
3548.6;-0.83962
3572.65;-1.16514
3596.7;-0.0970253
3619.52;-0.829448
3641.12;-0.229268
3662.72;-0.0258176
3684.32;-1.15497
3706.12;-0.931173
3728.13;0.584534
3750.14;-0.219096
3772.15;0.0759077
3795.01;-0.564962
3818.72;-1.61273
3842.43;0.0118208
3866.14;0.289531
3889.48;0.0759077
3912.47;-0.941345
3935.46;-0.83962
3958.45;-0.147888
3982.05;-0.849793
4006.26;0.177633
4030.48;-0.859965
4054.69;-1.69411
4079.08;0.360739
4103.65;0.340394
4128.22;-1.86705
4152.79;-0.127543
4177.62;0.279358
4202.72;-0.381856
4227.83;-0.75824
4252.93;-0.575134
4277.02;-0.239441
4300.09;-1.16514
4323.16;-0.615824
4346.23;0.0555627
4368.35;-0.83962
4389.51;-0.0970253
4410.67;-0.788757
4431.83;1.70351
4453.02;0.798157
4474.24;1.17658
4495.46;-0.351339
4516.68;-0.534444
4538.04;0.50824
4559.54;0.208151
4581.03;-0.310648
4602.53;-0.463236
4625.04;0.0250451
4648.57;-0.686015
4672.1;-0.79893
4695.63;-0.666687
4719.85;-0.534444
4744.76;-0.523254
4769.67;-0.921
4794.58;-0.208923
4818.69;0.72695
4841.98;2.11041
4865.27;1.68317
4888.56;-0.178406
4912.91;-1.44997
4938.3;0.0453901
4963.69;-1.52118
4989.08;0.482809
5014.1;-0.320821
5038.76;-1.60256
5063.4;0.88971
5088.06;-1.11428
5112.07;-0.88031
5135.46;-0.107198
5158.84;-0.806051
5182.23;-1.25669
5206.07;-1.59747
5230.39;-0.290303
5254.69;2.31386
5279.01;2.00869
5302.86;1.38816
5326.27;0.584534
5349.68;0.136943
5373.09;-1.75515
5396.42;-0.941345
5419.66;-0.534444
5442.9;1.53058
5466.15;0.68626
5489.36;-0.992208
5512.54;-0.432719
5535.72;-0.67686
5558.9;1.09316
5582.39;-0.0156451
5606.19;0.635397
5629.99;-1.24652
5653.79;-0.330994
5677.67;0.360739
5701.63;-0.432719
5725.58;-1.22618
5749.54;-0.931173
5773.7;-0.636169
5798.06;-1.30756
5822.42;-0.534444
5846.78;0.381084
5870.99;0.0860802
5895.06;0.645569
5919.12;1.39834
5943.18;1.09316
5967.08;-0.127543
5990.8;-0.534444
6014.52;-0.0258176
6038.24;0.279358
6062.6;-0.737895
6087.61;-0.83962
6112.61;0.594707
6137.62;-0.0258176
6162.09;-0.208923
6186.04;1.17454
6209.99;0.88971
6233.94;-0.503927
6258.09;0.787985
6282.46;2.41559
6306.83;1.50006
6331.2;-0.198751
6355.59;0.269186
6380;-0.83962
6404.42;1.39834
6428.83;-0.0258176
6454.55;0.787985
6481.58;0.482809
6508.59;0.381084
6535.62;0.248841
6561.71;-0.168233
6586.86;2.72077
6612.02;0.381084
6637.17;1.70351
6662.01;2.72077
6686.54;2.41559
6711.07;0.279358
6735.6;0.533672
6759.99;-0.432719
6784.25;0.381084
6808.5;0.177633
6832.76;0.248841
6858.15;1.2254
6884.68;-0.0258176
6911.2;3.02594
6937.72;0.482809
6964.05;0.0759077
6990.16;0.68626
7016.28;0.381084
7042.4;0.157288
7068.5;-0.432719
7094.57;-0.229268
7120.64;-0.127543
7146.71;0.289531
7172.79;2.11041
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;