Site;Latitude;Longitude;concobs;accuobs;fluxobs 
Siple Dome;-81.654303;-149.005134;0.238;15.5;116.42484
WAIS Divide;-79.783333;-112.133333;0.143;21.9;98.836452
PS1;-90;0;0.39;9.51;117.052884
EDML;-75;0;0.399;6.98;87.8952312
EDC;-75.06;123.21;0.677;2.58;55.124590
LDC;-75.1;123.35;0.56;2.53;44.714208
ODC;-74.39;124.10;0.510;2.99;48.125844
Vostok;-78.466667;106.8;0.881;2.1;58.389156
Dome F;-77.316667;39.7;0.87;3.5;96.1002
Dome A;-80.366667;77.35;1.012;2.5;79.8468
SPICE;-89.98;-98.15;0.349;8.9;98.028516