Elevation;10Be_conc
571;0.045
1091;0.037
1550;0.254
1995;0.154
2221;0.143
2475;0.141
2636;0.152
2837;0.222
3004;0.204
3138;0.215
3297;0.208
3440;0.337
3450;0.2
3470;0.267
3484;0.146
3497;0.255
3512;0.218
3539;0.25
3535;0.273
3541;0.269
3569;0.314
3561;0.293
3575;0.295
3584;0.259
3596;0.334
3621;0.385
3635;0.374
3655;0.42
3667;0.372
3680;0.413
3683;0.315
3688;0.507
3705;0.475
3731;0.329
3725;0.476
3729;0.61
3734;0.518
3751;0.358
3760;0.623
3752;0.706
3769;0.585
3765;0.677
3783;0.701
3772;0.673
3783;0.862