AgeSPs;BeSPnorm;BeVKnorm;BeWDnorm;BeDFnorm;BeSDnorm;BeDAnorm;BeEDCnorm;BeSPInorm;BeLDCnorm;number;stack
-27;0.857385196;;0.797979166;;0.925422657;;;;0.948648;4;0.882358755
-5;0.804466713;;0.754311526;;0.824528198;;;;0.917488903;4;0.825198835
17;0.842705722;;0.81505518;;0.873284674;0.78388955;;;0.934556019;5;0.849898229
39;0.952636409;;0.819719104;;0.811697017;0.821604616;;;1.018567703;5;0.88484497
61;0.981168784;;1.019223781;;0.994312247;0.906412686;;;1.082187562;5;0.996661012
83;0.832031142;;0.935421569;0.845207613;0.879766556;0.840740609;0.93407282;;0.889725987;7;0.879566614
105;0.947732316;;0.896551911;0.899656144;0.844983242;0.861847166;0.84775719;;0.911958759;7;0.88721239
127;1.101622438;;0.972026479;1.06182324;1.123425714;0.943081047;1.074844507;;0.903562939;7;1.02576948
149;0.941757577;;0.882570246;0.940593874;0.93341751;0.957053328;0.905291843;;0.796010729;7;0.908099301
171;0.783393459;;0.78470198;0.84112572;0.758136244;0.899735261;0.763532509;;0.769339426;7;0.799994943
193;0.903954481;;0.854186102;0.885512022;0.924262714;0.913660319;0.901732049;;0.862007161;7;0.892187836
215;0.832693616;0.860668149;0.935026244;0.905984122;0.926478633;0.8303406;0.920931604;;0.806088194;8;0.877276395
237;1.122846151;0.982683708;1.029132339;1.135950102;1.002260742;1.085166882;1.005314122;1.071196343;0.899396995;9;1.037105265
259;1.26216022;1.000002292;1.143980621;1.229770612;0.883392674;1.160628368;1.120767417;1.076406683;1.063396647;9;1.104500615
281;1.174512556;0.997358148;1.232092755;1.132539548;0.982676372;1.094905291;1.200670071;1.211135999;1.128911591;9;1.12831137
303;1.08516183;0.904896536;1.115594412;1.069748667;1.093108946;0.939572899;1.07180876;1.04952478;1.029971004;9;1.039931982
325;0.963398889;0.930358191;0.86862182;0.892028469;0.988773161;0.868329433;1.013883773;0.84351691;1.039876014;9;0.934309629
347;0.914415599;0.912305755;0.910172566;0.995882504;0.984908476;0.890535002;0.934613524;0.924771711;0.93286946;9;0.933386066
369;1.200695065;0.997469412;1.04190807;0.987110125;1.020580641;1.002455405;0.998345356;0.883002835;1.010834612;9;1.015822391
391;1.203127229;0.936019232;1.003752808;0.9795729;1.091793193;1.232723025;1.010598364;1.011825417;1.023924942;9;1.054815234
413;1.258147822;1.026842068;1.099141579;1.152306045;1.202745641;1.447670118;1.078127964;1.177666292;1.256682338;9;1.18881443
435;1.189007222;1.136026967;1.114681797;1.169875605;1.128004018;1.250685684;1.152437853;1.202478639;1.179352672;9;1.169172273
457;1.124620168;1.129380263;1.075721262;1.337417728;1.231472997;1.263179403;1.180717434;1.145766606;1.039990921;9;1.16980742
479;1.181511481;1.197902904;0.977103813;1.365221011;1.304864453;1.355449228;1.260562229;1.137233074;1.168525484;9;1.216485964
501;1.399334528;1.280183191;1.241347328;1.317877498;1.258964522;1.334807041;1.490165803;1.227491305;1.184527097;9;1.303855368
523;1.195490965;1.134566673;1.1815438;1.213826679;1.152453761;1.025179608;1.154547111;1.153353766;1.250922349;9;1.162431635
545;1.038692884;1.114847749;1.053893415;1.040881566;1.16691899;0.924764365;0.966641061;1.026286208;1.076959723;9;1.045542885
567;1.039743305;1.038847242;0.997566841;0.848405321;1.0216894;0.988330391;1.030957171;0.845382602;1.058505877;9;0.985492016
589;0.785378257;0.895427119;1.04448435;0.85110408;1.04956308;1.069431068;0.891985507;0.810024127;0.815210898;9;0.912512054
611;1.057320295;1.057953033;1.14083707;1.085648896;1.144124766;1.213172298;1.056528645;1.042281778;;8;1.099733348
633;1.142646715;1.11899056;1.266903647;1.192940163;1.169984193;1.401484192;1.14618094;1.173300076;;8;1.201553811
655;0.99977238;1.066266194;1.268154282;1.108598468;1.101756602;1.091529258;1.033061346;1.124322296;;8;1.099182603
677;1.069597311;1.040339031;1.158143318;1.078403874;1.119267529;0.941742148;1.162420181;0.992386478;;8;1.070287484
699;0.88923186;0.979563123;0.930399151;0.920759003;0.900743191;0.933207518;0.967286981;0.925593959;;8;0.930848098
721;0.826854389;0.967667456;0.923103093;0.99359782;0.93764354;0.830091828;1.054400085;0.986085317;;8;0.939930441
743;0.788854298;0.987889636;1.000310145;0.965256628;0.878369471;0.775627247;0.898593764;0.889001877;;8;0.897987883
765;0.918920656;1.017343857;0.974418376;0.918950109;0.986296065;0.830589231;1.016202263;0.96861983;;8;0.953917548
787;0.874697935;0.973618129;1.086918581;0.923026297;0.957414688;0.885307624;0.867068633;0.936407315;;8;0.9380574
809;0.805672991;0.899201813;0.836418542;0.781136759;0.881108882;0.836189558;0.783667822;0.817102594;;8;0.83006237
831;0.889991815;0.934094786;0.957316709;0.920418479;0.897379655;0.824563403;0.810945906;0.889708444;;8;0.8905524
853;0.856748925;0.874817562;1.027529592;0.879173343;0.792130479;0.97188507;0.740922446;0.864147671;;8;0.875919386
875;1.001187827;0.940350035;1.01460386;0.906442369;1.054735809;1.072497602;0.881317504;0.947887361;;8;0.977377796
897;1.19924881;0.938459414;1.101659475;1.056464249;1.140179512;1.21343866;0.949268826;1.076924625;;8;1.084455447
919;1.129901437;1.039133423;1.013497829;0.920840341;1.015493992;1.287561091;1.044701649;1.0478535;;8;1.062372908
941;1.006940455;1.056569695;1.041677234;0.992126465;1.179970506;1.120793663;1.031586417;1.034985078;;8;1.058081189
963;0.912181392;0.99778508;1.083396738;0.902001722;0.910772809;0.947485812;0.922971085;0.968282042;;8;0.955609585
985;0.96903556;0.875755606;0.920216091;0.902756537;0.852610397;0.919581247;1.051213983;0.920797218;;8;0.92649583
1007;0.84675665;0.883993522;0.91482277;0.848736093;0.850097888;0.90889252;0.862038089;0.828280538;;8;0.867952259
1029;0.991378604;0.96948068;0.960514372;0.914903148;1.002333564;0.792824909;0.809317394;0.975128247;;8;0.926985115
1051;0.996458093;0.970123709;0.993347501;0.932786678;0.901181468;0.76536943;;0.96957062;;7;0.932691071
1073;0.963928601;0.934818055;0.90167011;0.899220189;0.942518522;0.743987301;;0.88963737;;7;0.896540021
1095;0.942880974;;;0.856391173;;;;0.934632467;;3;0.911301538